Estimate	StdError	Pval	Model	PvalFDR	Lipid	Outcome
-0.3147244186123262	0.8902850663177997	0.7237063480486976	AD_CTL ~ PEO362PEP361 + e4_c + Site + Age	0.9931280348973732	PE(O-36:2)/PE(P-36:1)	AD Male Adjusted
0.11490409684448716	1.0570381383952108	0.9134374018998216	AD_CTL ~ PEO363 + e4_c + Site + Age	0.9931280348973732	PE(O-36:3)	AD Male Adjusted
0.11900672070840973	0.8405084024176283	0.8874046781885087	AD_CTL ~ PEO363PEP362 + e4_c + Site + Age	0.9931280348973732	PE(O-36:3)/PE(P-36:2)	AD Male Adjusted
-0.7377156193770227	1.037672071099161	0.47712557568834707	AD_CTL ~ PEO364PEP363 + e4_c + Site + Age	0.9931280348973732	PE(O-36:4)/PE(P-36:3)	AD Male Adjusted
-1.2955718200843975	0.9042832483319951	0.1519419422357626	AD_CTL ~ PEO365PEP364 + e4_c + Site + Age	0.9931280348973732	PE(O-36:5)/PE(P-36:4)	AD Male Adjusted
-0.796572326039893	1.0577665521797635	0.4514078118656055	AD_CTL ~ PEO384PEP383 + e4_c + Site + Age	0.9931280348973732	PE(O-38:4)/PE(P-38:3)	AD Male Adjusted
-0.1453334854905439	1.0779695433296643	0.8927529957108435	AD_CTL ~ PEO404PEP403 + e4_c + Site + Age	0.9931280348973732	PE(O-40:4)/PE(P-40:3)	AD Male Adjusted
-0.37662624818424045	1.5523720123262892	0.8083049015128904	AD_CTL ~ PEO405PEP404 + e4_c + Site + Age	0.9931280348973732	PE(O-40:5)/PE(P-40:4)	AD Male Adjusted
-0.29413543173461365	1.1304657670283993	0.7947175287992387	AD_CTL ~ PEO406PEP405 + e4_c + Site + Age	0.9931280348973732	PE(O-40:6)/PE(P-40:5)	AD Male Adjusted
-1.1087580443271479	0.8439067393792208	0.18890020755090492	AD_CTL ~ PEO407PEP406 + e4_c + Site + Age	0.9931280348973732	PE(O-40:7)/PE(P-40:6)	AD Male Adjusted
0.2049502612154621	1.2730955770501418	0.8721046148686646	AD_CTL ~ PEO426 + e4_c + Site + Age	0.9931280348973732	PE(O-42:6)	AD Male Adjusted
0.12359590246648514	1.0969003249433276	0.9102863006683465	AD_CTL ~ PEO446PEP445 + e4_c + Site + Age	0.9931280348973732	PE(O-44:6)/PE(P-44:5)	AD Male Adjusted
1.9485537296170523	1.6931897008940253	0.24980698568762622	AD_CTL ~ PEO447PEP446 + e4_c + Site + Age	0.9931280348973732	PE(O-44:7)/PE(P-44:6)	AD Male Adjusted
-0.31568332377413194	0.8907982640378361	0.7230522409750841	AD_CTL ~ PEP361 + e4_c + Site + Age	0.9931280348973732	PE(P-36:1)	AD Male Adjusted
0.1348785989236544	0.8435959868120906	0.8729714270536221	AD_CTL ~ PEP362 + e4_c + Site + Age	0.9931280348973732	PE(P-36:2)	AD Male Adjusted
-0.22400594872865862	1.4031080945170484	0.8731569349546955	AD_CTL ~ PEP410 + e4_c + Site + Age	0.9931280348973732	PE(P-41:0)	AD Male Adjusted
2.6994700072842495	1.6836327549970718	0.10885511905737717	AD_CTL ~ PEP426PEO427 + e4_c + Site + Age	0.9931280348973732	PE(P-42:6)/PE(O-42:7)	AD Male Adjusted
-0.19686742366687596	0.37073814517886117	0.5954085575763487	AD_CTL ~ PI321 + e4_c + Site + Age	0.9931280348973732	PI(32:1)	AD Male Adjusted
-0.10915709803918586	0.7152548272885653	0.8787035684171457	AD_CTL ~ PI341 + e4_c + Site + Age	0.9931280348973732	PI(34:1)	AD Male Adjusted
-0.03210848545650538	0.7389162455688087	0.9653400436467627	AD_CTL ~ PI342 + e4_c + Site + Age	0.9931280348973732	PI(34:2)	AD Male Adjusted
-0.045339615029389685	0.8896362916010031	0.9593540359525494	AD_CTL ~ PI361 + e4_c + Site + Age	0.9931280348973732	PI(36:1)	AD Male Adjusted
0.5940432872479546	0.9614012200471185	0.5366457342553501	AD_CTL ~ PI362 + e4_c + Site + Age	0.9931280348973732	PI(36:2)	AD Male Adjusted
0.46055795350646317	0.9360002844900978	0.622684742501784	AD_CTL ~ PI363 + e4_c + Site + Age	0.9931280348973732	PI(36:3)	AD Male Adjusted
-0.1353930502239602	0.9457981360765014	0.8861700079378108	AD_CTL ~ PI364 + e4_c + Site + Age	0.9931280348973732	PI(36:4)	AD Male Adjusted
-1.3478729241360887	1.0986761747020695	0.21989195621648389	AD_CTL ~ PI374 + e4_c + Site + Age	0.9931280348973732	PI(37:4)	AD Male Adjusted
1.232941068491231	0.8800838891442698	0.16123325807558386	AD_CTL ~ PI382 + e4_c + Site + Age	0.9931280348973732	PI(38:2)	AD Male Adjusted
2.53903763843175	1.111473481488484	0.022348687733845393	AD_CTL ~ PI383 + e4_c + Site + Age	0.9931280348973732	PI(38:3)	AD Male Adjusted
0.26389821125409296	1.0823386341021415	0.8073685085924647	AD_CTL ~ PI384 + e4_c + Site + Age	0.9931280348973732	PI(38:4)	AD Male Adjusted
-0.21667827300554396	1.0463347094296442	0.8359449321078161	AD_CTL ~ PI385 + e4_c + Site + Age	0.9931280348973732	PI(38:5)	AD Male Adjusted
-0.5447311726614462	0.8140952222475315	0.5034159731541357	AD_CTL ~ PI386 + e4_c + Site + Age	0.9931280348973732	PI(38:6)	AD Male Adjusted
0.04664507420968367	0.7171892920673585	0.9481431706715642	MCI_CTL ~ Cerd420	0.9848929059689117	Cer(d42:0)	MCI Female
-0.6209266956555414	0.8113028702674504	0.444066060821982	MCI_CTL ~ Cerd421_A	0.7879215004611336	Cer(d42:1)_A	MCI Female
0.3187166905224997	0.7729400323089638	0.6800877711945075	MCI_CTL ~ Cerd421_B	0.9158970988951156	Cer(d42:1)_B	MCI Female
0.7309844792029101	0.6203766684869705	0.2386804641498754	MCI_CTL ~ DG341	0.6242268025425696	DG(34:1)	MCI Female
-0.23266544039228046	0.7446042443886824	0.7546844283355434	MCI_CTL ~ DG342	0.9541953478670371	DG(34:2)	MCI Female
0.8227403680481253	0.3402109742363577	0.01559218590596194	MCI_CTL ~ DG362	0.25751089319249587	DG(36:2)	MCI Female
0.7176609065698939	0.6035225280853682	0.23439232017954612	MCI_CTL ~ DG381_A	0.6242268025425696	DG(38:1)_A	MCI Female
-0.16832874014288549	0.7409894416726936	0.8202934761202503	MCI_CTL ~ LacCerd321	0.9706390651223452	LacCer(d32:1)	MCI Female
-0.34639702494169117	0.9422428909650449	0.7131489278190779	MCI_CTL ~ LacCerd422	0.9351583009010522	LacCer(d42:2)	MCI Female
-0.7248851763200914	0.5664687260191889	0.20066610069704136	MCI_CTL ~ LPC140	0.6042529773798548	LPC(14:0)	MCI Female
-0.5020641636699831	0.5678820016948227	0.37664253169697337	MCI_CTL ~ LPC150_A	0.7764630653445297	LPC(15:0)_A	MCI Female
0.1815575184939334	0.9884801691338533	0.8542696736229406	MCI_CTL ~ LPC160	0.9760377021491706	LPC(16:0)	MCI Female
-0.6325146736952157	0.7529565021251563	0.40088514503629236	MCI_CTL ~ LPC161	0.7879215004611336	LPC(16:1)	MCI Female
1.2053249617102597	0.8631867293123832	0.1626041822345279	MCI_CTL ~ LPC180	0.603769752794963	LPC(18:0)	MCI Female
