Estimate	StdError	Pval	PvalFDR	Modules	Outcome	Model
16.241504615800626	2.4204874906649056	1.9460592588208217e-11	3.058093121004148e-11	M11	Sexadj	Sex_binary ~ M11 + Status + e4_c
0.28348159720190536	0.6663272426060439	0.6706398731699075	0.9146573495303235	M1	APOE4raw	e4_c ~ M1
-0.012074022345459578	0.6651109373820318	0.9855213545416446	0.9855213545416446	M2	APOE4raw	e4_c ~ M2
0.4449824177193688	0.6684315499150186	0.5058022785245551	0.9146573495303235	M3	APOE4raw	e4_c ~ M3
0.4786366168698848	0.6685315935775686	0.4742458541071616	0.9146573495303235	M4	APOE4raw	e4_c ~ M4
0.2352510358068964	0.6583631354041428	0.720948362227315	0.9146573495303235	M5	APOE4raw	e4_c ~ M5
0.21790206793137898	0.6789772050164441	0.7483560132520828	0.9146573495303235	M6	APOE4raw	e4_c ~ M6
0.7176931165413553	0.6601654415872655	0.2773269115346189	0.9146573495303235	M7	APOE4raw	e4_c ~ M7
0.43219212142749663	0.6682027562940569	0.5179625228620277	0.9146573495303235	M8	APOE4raw	e4_c ~ M8
0.14350454945496421	0.6862078148068553	0.8344064560680512	0.9178471016748564	M9	APOE4raw	e4_c ~ M9
0.5649831141347973	0.6949400773607421	0.4164811008419762	0.9146573495303235	M10	APOE4raw	e4_c ~ M10
0.6585469987298657	0.6696758572291639	0.32573970654713935	0.9146573495303235	M11	APOE4raw	e4_c ~ M11
-0.2706852547116847	0.665112390233578	0.6841427782822123	0.8965682164395272	M1	APOE4adj	e4_c ~ M1 + Status + Sex
0.012294926677147364	0.6346695138868181	0.984549432130136	0.984549432130136	M2	APOE4adj	e4_c ~ M2 + Status + Sex
0.2280379787952797	0.6696605854887575	0.7335558134505222	0.8965682164395272	M3	APOE4adj	e4_c ~ M3 + Status + Sex
-0.45661243534833956	0.6894852867260014	0.5080164546701722	0.8965682164395272	M4	APOE4adj	e4_c ~ M4 + Status + Sex
0.5037287288933257	0.6332578606151071	0.42660340000369645	0.8965682164395272	M5	APOE4adj	e4_c ~ M5 + Status + Sex
-0.5311232240013134	0.6800400314933265	0.435041928930888	0.8965682164395272	M6	APOE4adj	e4_c ~ M6 + Status + Sex
0.07296828804632872	0.6369470666542646	0.9088254196048173	0.984549432130136	M7	APOE4adj	e4_c ~ M7 + Status + Sex
0.4117358599703479	0.6379874710970879	0.5188896303054777	0.8965682164395272	M8	APOE4adj	e4_c ~ M8 + Status + Sex
-0.9198738429924715	0.6935209572772123	0.18512233836092537	0.8965682164395272	M9	APOE4adj	e4_c ~ M9 + Status + Sex
-0.25756052505894245	0.7034566443825079	0.7143685378743825	0.8965682164395272	M10	APOE4adj	e4_c ~ M10 + Status + Sex
-0.25926121875771707	0.6637063707024703	0.6961858475266227	0.8965682164395272	M11	APOE4adj	e4_c ~ M11 + Status + Sex
1.1755363580652731	3.1251236365672224	0.7068003648433251	0.7068003648433251	M1	Femaleraw	AD_CTL ~ M1
-1.1340736960090931	2.9093219795283383	0.6966793629784839	0.7068003648433251	M2	Femaleraw	AD_CTL ~ M2
-5.3739747466797025	3.128702298368949	0.08586285195525871	0.23612284287696145	M3	Femaleraw	AD_CTL ~ M3
4.828216845944832	3.1339033718606935	0.12340443052723496	0.2714897471599169	M4	Femaleraw	AD_CTL ~ M4
-8.021408211008193	2.960272697233809	0.006734701949333825	0.038295238187587975	M5	Femaleraw	AD_CTL ~ M5
4.293936700165173	3.154747804920653	0.17348114187911867	0.31804876011171757	M6	Femaleraw	AD_CTL ~ M6
5.19126104158446	2.9030038783201735	0.07373766279581781	0.23612284287696145	M7	Femaleraw	AD_CTL ~ M7
-2.935347979079177	2.9553062228269784	0.32058977386422965	0.3918319458340585	M8	Femaleraw	AD_CTL ~ M8
3.2010036535017763	3.0281084398925056	0.2904674248229609	0.3918319458340585	M9	Femaleraw	AD_CTL ~ M9
3.3450959496135018	2.944545842038813	0.25594350636585184	0.3918319458340585	M10	Femaleraw	AD_CTL ~ M10
8.192995808528945	3.035995028803831	0.00696277057956145	0.038295238187587975	M11	Femaleraw	AD_CTL ~ M11
1.5745396384443167	3.592351522423572	0.6611664115822594	0.6611664115822594	M1	Femaleadj	AD_CTL ~ M1 + e4_c
-1.614898717566996	3.2749012348293696	0.6219322398737867	0.6611664115822594	M2	Femaleadj	AD_CTL ~ M2 + e4_c
-4.728269777948121	3.5876972187680285	0.18753305580050497	0.34381060230092575	M3	Femaleadj	AD_CTL ~ M3 + e4_c
6.894093583923606	3.6260666784655964	0.05726803596503934	0.1574870989038582	M4	Femaleadj	AD_CTL ~ M4 + e4_c
-6.629553086897651	3.259019269038713	0.04192970003560427	0.15374223346388233	M5	Femaleadj	AD_CTL ~ M5 + e4_c
4.243975187256516	3.622069109743608	0.24131787660417814	0.37921380609227995	M6	Femaleadj	AD_CTL ~ M6 + e4_c
6.576032119810945	3.2191001260323375	0.041070567580570726	0.15374223346388233	M7	Femaleadj	AD_CTL ~ M7 + e4_c
-1.6242807072171614	3.28506327306933	0.620992456582702	0.6611664115822594	M8	Femaleadj	AD_CTL ~ M8 + e4_c
6.1580573241143055	3.5402603421603436	0.08195804911570376	0.1803077080545483	M9	Femaleadj	AD_CTL ~ M9 + e4_c
3.2713978384402367	3.3179048789112677	0.32414145033804764	0.4456944942148155	M10	Femaleadj	AD_CTL ~ M10 + e4_c
11.241122071485233	3.493124633096621	0.0012905599758958812	0.014196159734854693	M11	Femaleadj	AD_CTL ~ M11 + e4_c
1.683256005595339	3.430729172392605	0.6236804622816932	0.762276120566514	M1	Menraw	AD_CTL ~ M1
-0.6039104557079844	3.6682865933419717	0.8692351237145542	0.9529564109820672	M2	Menraw	AD_CTL ~ M2
2.5418812661508783	3.511413868974519	0.4691325912069788	0.7372083576109667	M3	Menraw	AD_CTL ~ M3
4.733187750424689	3.850646887969554	0.2189994965955178	0.6521199055789133	M4	Menraw	AD_CTL ~ M4
-2.078323569003548	3.5744414111384923	0.5609438784015677	0.762276120566514	M5	Menraw	AD_CTL ~ M5
2.948003102674318	3.6073851056346387	0.41380654065611266	0.7372083576109667	M6	Menraw	AD_CTL ~ M6
2.6004159281445283	3.537071367559782	0.4622244030672458	0.7372083576109667	M7	Menraw	AD_CTL ~ M7
-0.20598374213357706	3.4915695665981197	0.9529564109820672	0.9529564109820672	M8	Menraw	AD_CTL ~ M8
